date;num0;num1;num2;num3;num4
25/06/2022;2;47;40;31;49
22/06/2022;17;40;10;27;23
20/06/2022;27;47;23;48;14
18/06/2022;31;1;12;32;28
15/06/2022;11;37;44;13;21
13/06/2022;44;45;46;43;31
11/06/2022;7;28;4;11;10
08/06/2022;38;33;39;27;26
06/06/2022;20;5;22;23;18
04/06/2022;9;23;17;42;6
01/06/2022;33;4;35;22;2
30/05/2022;22;12;38;13;14
28/05/2022;20;27;21;26;7
25/05/2022;37;30;24;27;45
23/05/2022;30;26;48;41;47
21/05/2022;1;12;41;7;21
18/05/2022;14;23;22;45;36
16/05/2022;21;33;4;14;32
14/05/2022;4;44;29;32;24
11/05/2022;23;45;7;2;46
09/05/2022;6;33;7;9;15
07/05/2022;23;37;38;7;15
04/05/2022;37;30;17;12;41
02/05/2022;46;20;13;47;8
30/04/2022;6;27;5;21;47
27/04/2022;8;13;1;43;31
25/04/2022;31;36;42;23;8
23/04/2022;44;20;11;9;42
20/04/2022;45;46;4;13;33
18/04/2022;10;39;33;9;47
16/04/2022;4;41;30;27;21
13/04/2022;36;29;44;46;35
11/04/2022;32;3;22;18;17
09/04/2022;3;15;13;29;40
06/04/2022;6;20;48;12;38
04/04/2022;23;22;33;36;10
02/04/2022;15;6;11;28;24
30/03/2022;12;34;16;26;10
28/03/2022;16;48;21;5;26
26/03/2022;40;10;37;34;12
23/03/2022;20;2;29;39;18
21/03/2022;10;26;46;35;5
19/03/2022;44;38;33;49;41
16/03/2022;1;49;12;39;24
14/03/2022;11;5;32;49;9
12/03/2022;16;47;33;21;5
09/03/2022;32;8;21;41;25
07/03/2022;8;27;29;15;41
05/03/2022;37;26;36;14;1
02/03/2022;46;4;3;43;22
28/02/2022;43;9;21;36;27
26/02/2022;29;39;28;22;30
23/02/2022;33;15;6;12;14
21/02/2022;2;6;10;32;17
19/02/2022;32;24;49;39;40
16/02/2022;22;24;41;21;32
14/02/2022;26;13;29;15;20
12/02/2022;45;22;28;40;37
09/02/2022;44;48;31;46;21
07/02/2022;37;15;18;31;46
05/02/2022;48;31;24;11;38
02/02/2022;11;37;49;28;40
31/01/2022;25;32;31;36;10
29/01/2022;42;29;25;46;8
26/01/2022;14;16;33;38;45
24/01/2022;15;38;7;4;40
22/01/2022;26;3;39;17;30
19/01/2022;44;27;41;8;43
17/01/2022;4;27;5;15;22
15/01/2022;19;10;30;13;47
12/01/2022;23;20;1;26;44
10/01/2022;14;43;34;41;35
08/01/2022;22;42;43;17;25
05/01/2022;17;45;30;32;6
03/01/2022;33;36;34;38;22
01/01/2022;30;36;14;6;39
29/12/2021;21;18;33;49;48
27/12/2021;32;20;6;12;14
25/12/2021;6;25;48;21;37
22/12/2021;41;20;46;11;24
20/12/2021;22;23;12;47;25
18/12/2021;10;46;2;31;38
15/12/2021;34;47;11;37;38
13/12/2021;23;38;36;18;19
11/12/2021;16;45;34;42;26
08/12/2021;28;26;1;30;16
06/12/2021;29;16;36;7;15
04/12/2021;23;18;34;5;44
01/12/2021;26;18;3;49;46
29/11/2021;30;26;35;44;31
27/11/2021;25;28;46;12;27
24/11/2021;14;34;39;24;47
22/11/2021;19;12;8;41;16
20/11/2021;44;9;18;17;42
17/11/2021;37;40;36;4;43
15/11/2021;34;7;8;41;42
13/11/2021;39;13;12;31;26
10/11/2021;31;12;9;40;41
08/11/2021;44;32;11;48;7
06/11/2021;19;2;18;22;4
03/11/2021;7;39;31;38;42
01/11/2021;47;27;26;43;1
30/10/2021;46;11;43;12;30
27/10/2021;41;16;44;27;15
25/10/2021;31;48;43;37;3
23/10/2021;6;36;35;10;48
20/10/2021;26;35;16;22;42
18/10/2021;41;27;36;35;9
16/10/2021;23;15;46;5;37
13/10/2021;21;20;19;43;49
11/10/2021;26;7;1;9;28
09/10/2021;22;29;19;15;34
06/10/2021;44;34;20;8;41
04/10/2021;44;15;5;19;7
02/10/2021;6;46;35;20;8
29/09/2021;6;39;28;13;33
27/09/2021;12;26;31;40;37
25/09/2021;20;35;49;18;16
22/09/2021;5;40;13;14;9
20/09/2021;12;10;45;15;31
18/09/2021;39;38;21;2;9
15/09/2021;48;22;4;30;27
13/09/2021;4;30;24;21;40
11/09/2021;5;3;49;33;15
08/09/2021;7;34;27;12;15
06/09/2021;3;31;36;13;40
04/09/2021;41;49;30;45;35
01/09/2021;49;27;32;24;17
30/08/2021;32;34;18;44;3
28/08/2021;48;43;46;11;8
25/08/2021;19;9;29;26;3
23/08/2021;13;22;31;11;21
21/08/2021;46;8;2;19;29
18/08/2021;4;7;12;24;25
16/08/2021;22;27;13;10;49
14/08/2021;4;28;42;49;35
11/08/2021;43;13;21;5;6
09/08/2021;37;43;45;28;38
07/08/2021;7;24;36;6;47
04/08/2021;21;36;22;20;44
02/08/2021;24;44;46;42;7
31/07/2021;22;6;46;7;17
28/07/2021;1;28;3;29;8
26/07/2021;42;5;34;21;37
24/07/2021;24;40;5;31;22
21/07/2021;27;25;6;37;32
19/07/2021;3;28;15;4;2
17/07/2021;31;8;47;11;17
14/07/2021;36;18;38;31;29
12/07/2021;38;31;8;37;30
10/07/2021;43;3;38;42;46
07/07/2021;37;18;8;44;46
05/07/2021;43;36;3;32;45
03/07/2021;33;48;13;2;19
30/06/2021;8;44;6;48;31
28/06/2021;4;28;48;8;15
26/06/2021;37;24;38;13;45
23/06/2021;1;16;6;3;40
21/06/2021;44;21;25;18;47
19/06/2021;3;44;46;27;14
16/06/2021;22;23;35;46;3
14/06/2021;40;12;47;21;19
12/06/2021;9;2;5;29;10
09/06/2021;16;33;41;2;24
07/06/2021;6;28;34;7;11
05/06/2021;45;16;6;37;25
02/06/2021;33;34;25;3;26
31/05/2021;25;3;13;32;47
29/05/2021;32;4;36;44;9
26/05/2021;20;1;22;5;42
24/05/2021;11;44;47;29;7
22/05/2021;9;2;45;19;7
19/05/2021;28;17;41;3;23
17/05/2021;23;42;3;17;47
15/05/2021;7;31;29;24;47
12/05/2021;19;11;22;36;9
10/05/2021;44;12;13;17;27
08/05/2021;41;35;40;6;24
05/05/2021;36;48;46;41;8
03/05/2021;44;8;11;48;37
01/05/2021;27;25;5;34;38
28/04/2021;4;15;10;49;12
26/04/2021;2;34;41;32;8
24/04/2021;41;12;26;42;36
21/04/2021;45;31;6;49;39
19/04/2021;49;17;36;44;27
17/04/2021;38;37;17;34;30
14/04/2021;27;25;20;23;47
12/04/2021;43;14;26;7;11
10/04/2021;9;35;15;8;4
07/04/2021;35;19;9;16;43
05/04/2021;32;22;2;12;15
03/04/2021;17;1;38;2;45
31/03/2021;2;27;24;35;22
29/03/2021;41;28;18;13;38
27/03/2021;16;11;18;8;10
24/03/2021;22;38;28;37;9
22/03/2021;15;6;34;39;24
20/03/2021;42;18;14;4;27
17/03/2021;45;18;46;3;30
15/03/2021;29;38;33;15;41
13/03/2021;47;22;19;4;10
10/03/2021;26;42;33;20;34
08/03/2021;24;8;38;19;40
